ID,X,Y,Z,Indoor,InCar,BSdist,GCellID,Relay,RxNodeID,FreqInGHz,BandwidthMHz,N0,RSSI,BestRSRP,BestRSRPNode,BestSINR,RoIDbm,BestCouplingLoss,MaxTxAg,MaxRxAg,AssoTxAg,AssoRxAg,MaxTransmitBeamID
3208,-134.232506,-539.630568,1.5,false,false,159.128037,5,true,3208,0.7,1.728,-104.62456261857125,0.00279058632087659,-25.597383331239783,261,18.999613984245556,-1000,-63.97238333123978,15.926289319496746,-1000,15.926289319496746,0,0
3212,-102.402742,-269.428782,1.5,false,false,221.5782,5,true,3212,3.7,1.728,-104.62456261857125,0.0021393188137973484,-26.712676848997972,5,24.48591565831167,-1000,-65.08767684899797,14.996223439280381,-1000,14.996223439280381,0,0
3245,-199.393448,-513.343735,1.5,false,false,97.80771,5,true,3245,2.7,1.728,-104.62456261857125,0.01498626533184353,-18.253187268943414,261,26.320356604702834,-1000,-56.628187268943414,11.940231860466461,-1000,11.940231860466461,0,0
3269,-139.430648,-295.689445,1.5,false,false,177.863733,5,true,3269,1.7,1.728,-104.62456261857125,0.0030338372327571852,-25.18994169282275,5,26.432175948320214,-1000,-63.56494169282275,16.301948096418734,-1000,16.301948096418734,0,0
3270,-247.682716,-507.180135,1.5,false,false,77.835906,5,true,3270,1.7,1.728,-104.62456261857125,0.00028945344497812705,-35.432636355555516,261,19.503039599745712,-1000,-73.80763635555552,9.579507390803638,-1000,-8.594197016652231,0,0
3291,-197.441072,-400.585356,1.5,false,false,66.077405,5,true,3291,0.7,1.728,-104.62456261857125,0.00015212233215176945,-38.2525577457006,5,17.619712483711922,-1000,-76.6275577457006,9.393460711929414,-1000,-0.5481423010535451,0,0
3303,-173.577492,-233.769077,1.5,false,false,214.687379,5,true,3303,3.7,1.728,-104.62456261857125,0.0016240459558753723,-27.91779573735907,5,22.604034090911895,-1000,-66.29279573735907,15.376090608532259,-1000,15.376090608532259,0,0
3348,-263.686527,-213.233119,1.5,false,false,221.455718,5,true,3348,3.7,1.728,-104.62456261857125,0.0007147673519215956,-31.555261796908653,5,16.465663317401052,-1000,-69.93026179690865,12.213263799844706,-1000,12.213263799844706,0,0
3372,-371.843372,-430.17011,1.5,false,false,124.121464,5,true,3372,2.7,1.728,-104.62456261857125,0.0003217499135453891,-35.01335511639974,133,16.862127243579337,-1000,-73.38835511639974,16.054618134806777,-1000,16.054618134806777,0,0
3373,-233.785836,-562.534453,1.5,false,false,132.631193,5,true,3373,3.7,1.728,-104.62456261857125,0.00040564875992872047,-33.944100276942365,261,22.282330291599287,-1000,-72.31910027694236,15.000746008662269,-1000,15.000746008662269,0,0
3384,261.675,-571.953052,1.5,false,false,141.396523,6,true,3384,2.7,1.728,-104.62456261857125,0.0071152955158756345,-21.504251107495122,262,22.18496214365115,-1000,-59.87925110749512,14.912739293242858,-1000,14.912739293242858,0,0
3388,122.335081,-442.238506,1.5,false,false,130.137224,6,true,3388,3.7,1.728,-104.62456261857125,0.0027673473739646204,-25.58924564676606,134,26.424265799879265,-1000,-63.96424564676606,16.336430638536648,-1000,16.336430638536648,0,0
