ID,X,Y,Z,HDirection,HWidth,VTilt
127 , 2749.999999 , -1299.038107 , 25.000000 , 60.000000 , 65.000000 , 6.300000
128 , 0.000000 , 0.000000 , 25.000000 , 180.000000 , 65.000000 , 6.300000
129 , 499.999999 , -0.000001 , 25.000000 , 180.000000 , 65.000000 , 6.300000
130 , 249.999999 , 433.012700 , 25.000000 , 180.000000 , 65.000000 , 6.300000
131 , -250.000001 , 433.012701 , 25.000000 , 180.000000 , 65.000000 , 6.300000
132 , -499.999999 , 0.000001 , 25.000000 , 180.000000 , 65.000000 , 6.300000
133 , -249.999999 , -433.012700 , 25.000000 , 180.000000 , 65.000000 , 6.300000
134 , 250.000001 , -433.012701 , 25.000000 , 180.000000 , 65.000000 , 6.300000
135 , 999.999999 , -0.000002 , 25.000000 , 180.000000 , 65.000000 , 6.300000
136 , 749.999998 , 433.012699 , 25.000000 , 180.000000 , 65.000000 , 6.300000
137 , 499.999998 , 866.025400 , 25.000000 , 180.000000 , 65.000000 , 6.300000
138 , -0.000002 , 866.025401 , 25.000000 , 180.000000 , 65.000000 , 6.300000
139 , -500.000001 , 866.025402 , 25.000000 , 180.000000 , 65.000000 , 6.300000
140 , -750.000000 , 433.012702 , 25.000000 , 180.000000 , 65.000000 , 6.300000
141 , -999.999999 , 0.000002 , 25.000000 , 180.000000 , 65.000000 , 6.300000
142 , -749.999998 , -433.012699 , 25.000000 , 180.000000 , 65.000000 , 6.300000
143 , -499.999998 , -866.025400 , 25.000000 , 180.000000 , 65.000000 , 6.300000
144 , 0.000002 , -866.025401 , 25.000000 , 180.000000 , 65.000000 , 6.300000
145 , 500.000001 , -866.025402 , 25.000000 , 180.000000 , 65.000000 , 6.300000
146 , 750.000000 , -433.012702 , 25.000000 , 180.000000 , 65.000000 , 6.300000
147 , 1499.999998 , -0.000003 , 25.000000 , 180.000000 , 65.000000 , 6.300000
148 , 1249.999998 , 433.012698 , 25.000000 , 180.000000 , 65.000000 , 6.300000
149 , 999.999997 , 866.025399 , 25.000000 , 180.000000 , 65.000000 , 6.300000
150 , 749.999997 , 1299.038100 , 25.000000 , 180.000000 , 65.000000 , 6.300000
151 , 249.999997 , 1299.038101 , 25.000000 , 180.000000 , 65.000000 , 6.300000
152 , -250.000002 , 1299.038102 , 25.000000 , 180.000000 , 65.000000 , 6.300000
153 , -750.000002 , 1299.038103 , 25.000000 , 180.000000 , 65.000000 , 6.300000
154 , -1000.000001 , 866.025403 , 25.000000 , 180.000000 , 65.000000 , 6.300000
155 , -1249.999999 , 433.012703 , 25.000000 , 180.000000 , 65.000000 , 6.300000
156 , -1499.999998 , 0.000003 , 25.000000 , 180.000000 , 65.000000 , 6.300000
157 , -1249.999998 , -433.012698 , 25.000000 , 180.000000 , 65.000000 , 6.300000
158 , -999.999997 , -866.025399 , 25.000000 , 180.000000 , 65.000000 , 6.300000
159 , -749.999997 , -1299.038100 , 25.000000 , 180.000000 , 65.000000 , 6.300000
160 , -249.999997 , -1299.038101 , 25.000000 , 180.000000 , 65.000000 , 6.300000
161 , 250.000002 , -1299.038102 , 25.000000 , 180.000000 , 65.000000 , 6.300000
162 , 750.000002 , -1299.038103 , 25.000000 , 180.000000 , 65.000000 , 6.300000
163 , 1000.000001 , -866.025403 , 25.000000 , 180.000000 , 65.000000 , 6.300000
164 , 1249.999999 , -433.012703 , 25.000000 , 180.000000 , 65.000000 , 6.300000
165 , 1999.999998 , -0.000004 , 25.000000 , 180.000000 , 65.000000 , 6.300000
166 , 1749.999997 , 433.012697 , 25.000000 , 180.000000 , 65.000000 , 6.300000
167 , 1499.999997 , 866.025398 , 25.000000 , 180.000000 , 65.000000 , 6.300000
168 , 1249.999996 , 1299.038099 , 25.000000 , 180.000000 , 65.000000 , 6.300000
169 , 999.999996 , 1732.050800 , 25.000000 , 180.000000 , 65.000000 , 6.300000
170 , 499.999996 , 1732.050801 , 25.000000 , 180.000000 , 65.000000 , 6.300000
171 , -0.000003 , 1732.050802 , 25.000000 , 180.000000 , 65.000000 , 6.300000
172 , -500.000003 , 1732.050803 , 25.000000 , 180.000000 , 65.000000 , 6.300000
173 , -1000.000002 , 1732.050804 , 25.000000 , 180.000000 , 65.000000 , 6.300000
174 , -1250.000001 , 1299.038104 , 25.000000 , 180.000000 , 65.000000 , 6.300000
175 , -1500.000000 , 866.025404 , 25.000000 , 180.000000 , 65.000000 , 6.300000
176 , -1749.999999 , 433.012704 , 25.000000 , 180.000000 , 65.000000 , 6.300000
177 , -1999.999998 , 0.000004 , 25.000000 , 180.000000 , 65.000000 , 6.300000
178 , -1749.999997 , -433.012697 , 25.000000 , 180.000000 , 65.000000 , 6.300000
179 , -1499.999997 , -866.025398 , 25.000000 , 180.000000 , 65.000000 , 6.300000
180 , -1249.999996 , -1299.038099 , 25.000000 , 180.000000 , 65.000000 , 6.300000
181 , -999.999996 , -1732.050800 , 25.000000 , 180.000000 , 65.000000 , 6.300000
182 , -499.999996 , -1732.050801 , 25.000000 , 180.000000 , 65.000000 , 6.300000
183 , 0.000003 , -1732.050802 , 25.000000 , 180.000000 , 65.000000 , 6.300000
184 , 500.000003 , -1732.050803 , 25.000000 , 180.000000 , 65.000000 , 6.300000
185 , 1000.000002 , -1732.050804 , 25.000000 , 180.000000 , 65.000000 , 6.300000
186 , 1250.000001 , -1299.038104 , 25.000000 , 180.000000 , 65.000000 , 6.300000
187 , 1500.000000 , -866.025404 , 25.000000 , 180.000000 , 65.000000 , 6.300000
188 , 1749.999999 , -433.012704 , 25.000000 , 180.000000 , 65.000000 , 6.300000
189 , 2499.999997 , -0.000005 , 25.000000 , 180.000000 , 65.000000 , 6.300000
190 , 2249.999997 , 433.012696 , 25.000000 , 180.000000 , 65.000000 , 6.300000
191 , 1999.999996 , 866.025397 , 25.000000 , 180.000000 , 65.000000 , 6.300000
192 , 1749.999996 , 1299.038098 , 25.000000 , 180.000000 , 65.000000 , 6.300000
193 , 1499.999995 , 1732.050799 , 25.000000 , 180.000000 , 65.000000 , 6.300000
194 , 1249.999995 , 2165.063500 , 25.000000 , 180.000000 , 65.000000 , 6.300000
195 , 749.999995 , 2165.063501 , 25.000000 , 180.000000 , 65.000000 , 6.300000
196 , 249.999996 , 2165.063502 , 25.000000 , 180.000000 , 65.000000 , 6.300000
197 , -250.000004 , 2165.063503 , 25.000000 , 180.000000 , 65.000000 , 6.300000
198 , -750.000003 , 2165.063504 , 25.000000 , 180.000000 , 65.000000 , 6.300000
199 , -1250.000003 , 2165.063505 , 25.000000 , 180.000000 , 65.000000 , 6.300000
200 , -1500.000002 , 1732.050805 , 25.000000 , 180.000000 , 65.000000 , 6.300000
201 , -1750.000001 , 1299.038105 , 25.000000 , 180.000000 , 65.000000 , 6.300000
202 , -1999.999999 , 866.025405 , 25.000000 , 180.000000 , 65.000000 , 6.300000
203 , -2249.999998 , 433.012705 , 25.000000 , 180.000000 , 65.000000 , 6.300000
204 , -2499.999997 , 0.000005 , 25.000000 , 180.000000 , 65.000000 , 6.300000
205 , -2249.999997 , -433.012696 , 25.000000 , 180.000000 , 65.000000 , 6.300000
206 , -1999.999996 , -866.025397 , 25.000000 , 180.000000 , 65.000000 , 6.300000
207 , -1749.999996 , -1299.038098 , 25.000000 , 180.000000 , 65.000000 , 6.300000
208 , -1499.999995 , -1732.050799 , 25.000000 , 180.000000 , 65.000000 , 6.300000
209 , -1249.999995 , -2165.063500 , 25.000000 , 180.000000 , 65.000000 , 6.300000
210 , -749.999995 , -2165.063501 , 25.000000 , 180.000000 , 65.000000 , 6.300000
211 , -249.999996 , -2165.063502 , 25.000000 , 180.000000 , 65.000000 , 6.300000
212 , 250.000004 , -2165.063503 , 25.000000 , 180.000000 , 65.000000 , 6.300000
213 , 750.000003 , -2165.063504 , 25.000000 , 180.000000 , 65.000000 , 6.300000
214 , 1250.000003 , -2165.063505 , 25.000000 , 180.000000 , 65.000000 , 6.300000
215 , 1500.000002 , -1732.050805 , 25.000000 , 180.000000 , 65.000000 , 6.300000
216 , 1750.000001 , -1299.038105 , 25.000000 , 180.000000 , 65.000000 , 6.300000
217 , 1999.999999 , -866.025405 , 25.000000 , 180.000000 , 65.000000 , 6.300000
218 , 2249.999998 , -433.012705 , 25.000000 , 180.000000 , 65.000000 , 6.300000
219 , 2749.999996 , 433.012695 , 25.000000 , 180.000000 , 65.000000 , 6.300000
220 , 2499.999996 , 866.025396 , 25.000000 , 180.000000 , 65.000000 , 6.300000
221 , 2249.999995 , 1299.038097 , 25.000000 , 180.000000 , 65.000000 , 6.300000
222 , 1999.999995 , 1732.050798 , 25.000000 , 180.000000 , 65.000000 , 6.300000
223 , 999.999994 , 2598.076201 , 25.000000 , 180.000000 , 65.000000 , 6.300000
224 , 499.999995 , 2598.076202 , 25.000000 , 180.000000 , 65.000000 , 6.300000
225 , -0.000005 , 2598.076203 , 25.000000 , 180.000000 , 65.000000 , 6.300000
226 , -500.000004 , 2598.076204 , 25.000000 , 180.000000 , 65.000000 , 6.300000
227 , -1750.000002 , 2165.063506 , 25.000000 , 180.000000 , 65.000000 , 6.300000
228 , -2000.000001 , 1732.050806 , 25.000000 , 180.000000 , 65.000000 , 6.300000
229 , -2250.000000 , 1299.038106 , 25.000000 , 180.000000 , 65.000000 , 6.300000
230 , -2499.999999 , 866.025406 , 25.000000 , 180.000000 , 65.000000 , 6.300000
231 , -2749.999996 , -433.012695 , 25.000000 , 180.000000 , 65.000000 , 6.300000
232 , -2499.999996 , -866.025396 , 25.000000 , 180.000000 , 65.000000 , 6.300000
233 , -2249.999995 , -1299.038097 , 25.000000 , 180.000000 , 65.000000 , 6.300000
234 , -1999.999995 , -1732.050798 , 25.000000 , 180.000000 , 65.000000 , 6.300000
235 , -999.999994 , -2598.076201 , 25.000000 , 180.000000 , 65.000000 , 6.300000
236 , -499.999995 , -2598.076202 , 25.000000 , 180.000000 , 65.000000 , 6.300000
237 , 0.000005 , -2598.076203 , 25.000000 , 180.000000 , 65.000000 , 6.300000
238 , 500.000004 , -2598.076204 , 25.000000 , 180.000000 , 65.000000 , 6.300000
239 , 1750.000002 , -2165.063506 , 25.000000 , 180.000000 , 65.000000 , 6.300000
240 , 2000.000001 , -1732.050806 , 25.000000 , 180.000000 , 65.000000 , 6.300000
241 , 2250.000000 , -1299.038106 , 25.000000 , 180.000000 , 65.000000 , 6.300000
242 , 2499.999999 , -866.025406 , 25.000000 , 180.000000 , 65.000000 , 6.300000
243 , 2999.999995 , 866.025395 , 25.000000 , 180.000000 , 65.000000 , 6.300000
244 , 2749.999995 , 1299.038096 , 25.000000 , 180.000000 , 65.000000 , 6.300000
245 , 2499.999994 , 1732.050797 , 25.000000 , 180.000000 , 65.000000 , 6.300000
246 , 249.999994 , 3031.088903 , 25.000000 , 180.000000 , 65.000000 , 6.300000
247 , -250.000005 , 3031.088904 , 25.000000 , 180.000000 , 65.000000 , 6.300000
248 , -2500.000001 , 1732.050807 , 25.000000 , 180.000000 , 65.000000 , 6.300000
249 , -2749.999999 , 1299.038107 , 25.000000 , 180.000000 , 65.000000 , 6.300000
250 , -2749.999995 , -1299.038096 , 25.000000 , 180.000000 , 65.000000 , 6.300000
251 , -2499.999994 , -1732.050797 , 25.000000 , 180.000000 , 65.000000 , 6.300000
252 , -249.999994 , -3031.088903 , 25.000000 , 180.000000 , 65.000000 , 6.300000
253 , 250.000005 , -3031.088904 , 25.000000 , 180.000000 , 65.000000 , 6.300000
254 , 2500.000001 , -1732.050807 , 25.000000 , 180.000000 , 65.000000 , 6.300000
255 , 2749.999999 , -1299.038107 , 25.000000 , 180.000000 , 65.000000 , 6.300000
256 , 0.000000 , 0.000000 , 25.000000 , 300.000000 , 65.000000 , 6.300000
257 , 499.999999 , -0.000001 , 25.000000 , 300.000000 , 65.000000 , 6.300000
258 , 249.999999 , 433.012700 , 25.000000 , 300.000000 , 65.000000 , 6.300000
259 , -250.000001 , 433.012701 , 25.000000 , 300.000000 , 65.000000 , 6.300000
260 , -499.999999 , 0.000001 , 25.000000 , 300.000000 , 65.000000 , 6.300000
261 , -249.999999 , -433.012700 , 25.000000 , 300.000000 , 65.000000 , 6.300000
262 , 250.000001 , -433.012701 , 25.000000 , 300.000000 , 65.000000 , 6.300000
263 , 999.999999 , -0.000002 , 25.000000 , 300.000000 , 65.000000 , 6.300000
264 , 749.999998 , 433.012699 , 25.000000 , 300.000000 , 65.000000 , 6.300000
265 , 499.999998 , 866.025400 , 25.000000 , 300.000000 , 65.000000 , 6.300000
266 , -0.000002 , 866.025401 , 25.000000 , 300.000000 , 65.000000 , 6.300000
267 , -500.000001 , 866.025402 , 25.000000 , 300.000000 , 65.000000 , 6.300000
268 , -750.000000 , 433.012702 , 25.000000 , 300.000000 , 65.000000 , 6.300000
269 , -999.999999 , 0.000002 , 25.000000 , 300.000000 , 65.000000 , 6.300000
270 , -749.999998 , -433.012699 , 25.000000 , 300.000000 , 65.000000 , 6.300000
271 , -499.999998 , -866.025400 , 25.000000 , 300.000000 , 65.000000 , 6.300000
272 , 0.000002 , -866.025401 , 25.000000 , 300.000000 , 65.000000 , 6.300000
273 , 500.000001 , -866.025402 , 25.000000 , 300.000000 , 65.000000 , 6.300000
274 , 750.000000 , -433.012702 , 25.000000 , 300.000000 , 65.000000 , 6.300000
275 , 1499.999998 , -0.000003 , 25.000000 , 300.000000 , 65.000000 , 6.300000
276 , 1249.999998 , 433.012698 , 25.000000 , 300.000000 , 65.000000 , 6.300000
277 , 999.999997 , 866.025399 , 25.000000 , 300.000000 , 65.000000 , 6.300000
278 , 749.999997 , 1299.038100 , 25.000000 , 300.000000 , 65.000000 , 6.300000
279 , 249.999997 , 1299.038101 , 25.000000 , 300.000000 , 65.000000 , 6.300000
280 , -250.000002 , 1299.038102 , 25.000000 , 300.000000 , 65.000000 , 6.300000
281 , -750.000002 , 1299.038103 , 25.000000 , 300.000000 , 65.000000 , 6.300000
282 , -1000.000001 , 866.025403 , 25.000000 , 300.000000 , 65.000000 , 6.300000
283 , -1249.999999 , 433.012703 , 25.000000 , 300.000000 , 65.000000 , 6.300000
284 , -1499.999998 , 0.000003 , 25.000000 , 300.000000 , 65.000000 , 6.300000
285 , -1249.999998 , -433.012698 , 25.000000 , 300.000000 , 65.000000 , 6.300000
286 , -999.999997 , -866.025399 , 25.000000 , 300.000000 , 65.000000 , 6.300000
287 , -749.999997 , -1299.038100 , 25.000000 , 300.000000 , 65.000000 , 6.300000
288 , -249.999997 , -1299.038101 , 25.000000 , 300.000000 , 65.000000 , 6.300000
289 , 250.000002 , -1299.038102 , 25.000000 , 300.000000 , 65.000000 , 6.300000
290 , 750.000002 , -1299.038103 , 25.000000 , 300.000000 , 65.000000 , 6.300000
291 , 1000.000001 , -866.025403 , 25.000000 , 300.000000 , 65.000000 , 6.300000
292 , 1249.999999 , -433.012703 , 25.000000 , 300.000000 , 65.000000 , 6.300000
293 , 1999.999998 , -0.000004 , 25.000000 , 300.000000 , 65.000000 , 6.300000
294 , 1749.999997 , 433.012697 , 25.000000 , 300.000000 , 65.000000 , 6.300000
295 , 1499.999997 , 866.025398 , 25.000000 , 300.000000 , 65.000000 , 6.300000
296 , 1249.999996 , 1299.038099 , 25.000000 , 300.000000 , 65.000000 , 6.300000
297 , 999.999996 , 1732.050800 , 25.000000 , 300.000000 , 65.000000 , 6.300000
298 , 499.999996 , 1732.050801 , 25.000000 , 300.000000 , 65.000000 , 6.300000
299 , -0.000003 , 1732.050802 , 25.000000 , 300.000000 , 65.000000 , 6.300000
300 , -500.000003 , 1732.050803 , 25.000000 , 300.000000 , 65.000000 , 6.300000
301 , -1000.000002 , 1732.050804 , 25.000000 , 300.000000 , 65.000000 , 6.300000
302 , -1250.000001 , 1299.038104 , 25.000000 , 300.000000 , 65.000000 , 6.300000
303 , -1500.000000 , 866.025404 , 25.000000 , 300.000000 , 65.000000 , 6.300000
304 , -1749.999999 , 433.012704 , 25.000000 , 300.000000 , 65.000000 , 6.300000
305 , -1999.999998 , 0.000004 , 25.000000 , 300.000000 , 65.000000 , 6.300000
306 , -1749.999997 , -433.012697 , 25.000000 , 300.000000 , 65.000000 , 6.300000
307 , -1499.999997 , -866.025398 , 25.000000 , 300.000000 , 65.000000 , 6.300000
308 , -1249.999996 , -1299.038099 , 25.000000 , 300.000000 , 65.000000 , 6.300000
