ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
479,110.352857,-79.766431,1.500000,1,0,138.176288,0
480,-116.867625,-45.702077,1.500000,1,0,127.667426,0
481,-92.557742,-32.561943,1.500000,0,0,100.893338,0
482,-99.598128,149.602004,1.500000,0,0,181.253405,0
483,-236.120051,-116.012235,1.500000,1,0,264.128316,0
484,35.701926,58.607248,1.500000,1,0,72.537488,0
485,12.615820,-22.249975,1.500000,1,0,34.734281,0
486,51.583868,238.722675,1.500000,1,0,245.360268,0
487,-29.825006,-40.240609,1.500000,0,0,55.327096,0
488,-62.281177,64.722018,1.500000,1,0,92.844680,0
489,240.868430,127.432835,1.500000,1,0,273.512299,0
490,-25.428873,-250.096239,1.500000,1,0,252.481695,0
491,-20.254115,-57.424786,1.500000,1,0,65.269329,0
492,-107.357967,-173.030372,1.500000,0,0,204.981688,0
493,63.671218,-222.108933,1.500000,1,0,232.246964,0
494,-170.638059,146.660499,1.500000,1,0,226.227538,0
495,171.203921,143.269051,1.500000,1,0,224.475062,0
496,187.326296,-159.450644,1.500000,1,0,247.119201,0
497,108.960585,-175.280459,1.500000,1,0,207.720722,0
498,145.621006,-47.977271,1.500000,0,0,155.111398,0
499,148.448686,76.992596,1.500000,1,0,168.870134,0
500,105.292929,32.831897,1.500000,1,0,112.768721,0
501,46.061040,130.464892,1.500000,1,0,140.338724,0
502,-44.021278,88.404313,1.500000,1,0,101.515740,0
503,65.018349,103.688985,1.500000,0,0,124.623598,0
504,63.916767,-2.850798,1.500000,1,0,68.159593,0
505,-97.589327,-137.184105,1.500000,1,0,169.986486,0
506,70.658958,196.362267,1.500000,0,0,210.007329,0
507,116.949599,95.842979,1.500000,1,0,153.020702,0
508,-43.581416,127.928895,1.500000,1,0,137.176499,0
509,-86.807757,115.279578,1.500000,0,0,146.209500,0
510,-52.516437,127.871382,1.500000,1,0,140.218817,0
511,53.381437,14.913182,1.500000,1,0,60.201585,0
512,216.495490,-105.841073,1.500000,0,0,242.125753,0
513,40.160923,-40.948001,1.500000,0,0,61.982969,0
514,-62.902147,-31.125090,1.500000,1,0,74.011494,0
515,179.335723,-103.185162,1.500000,0,0,208.232392,0
516,-129.991568,-61.522725,1.500000,1,0,145.722694,0
517,79.857062,-10.620963,1.500000,0,0,83.917848,0
518,145.326646,56.511276,1.500000,1,0,157.688327,0
519,-18.791780,-223.885781,1.500000,1,0,225.898703,0
520,-133.408731,116.383757,1.500000,0,0,178.592605,0
521,195.385344,100.749030,1.500000,1,0,221.083807,0
